ID,Name,Type,Jan 2015 (kBtu),Feb 2015 (kBtu),Mar 2015 (kBtu),Apr 2015 (kBtu),May 2015 (kBtu),Jun 2015 (kBtu),Jul 2015 (kBtu),Aug 2015 (kBtu),Sep 2015 (kBtu),Oct 2015 (kBtu),Nov 2015 (kBtu),Dec 2015 (kBtu),Jan 2016 (kBtu),Feb 2016 (kBtu),Mar 2016 (kBtu),Apr 2016 (kBtu),May 2016 (kBtu),Jun 2016 (kBtu),Jul 2016 (kBtu),Aug 2016 (kBtu),Sep 2016 (kBtu),Oct 2016 (kBtu),Nov 2016 (kBtu),Dec 2016 (kBtu),Jan 2017 (kBtu),Feb 2017 (kBtu),Mar 2017 (kBtu),Apr 2017 (kBtu),May 2017 (kBtu),Jun 2017 (kBtu),Jul 2017 (kBtu),Aug 2017 (kBtu),Sep 2017 (kBtu),Oct 2017 (kBtu),Nov 2017 (kBtu),Dec 2017 (kBtu),Jan 2018 (kBtu),Feb 2018 (kBtu),Mar 2018 (kBtu),Apr 2018 (kBtu),May 2018 (kBtu),Jun 2018 (kBtu),Jul 2018 (kBtu),Aug 2018 (kBtu),Sep 2018 (kBtu),Oct 2018 (kBtu),Nov 2018 (kBtu),Dec 2018 (kBtu),Jan 2019 (kBtu),Feb 2019 (kBtu),Mar 2019 (kBtu),Apr 2019 (kBtu),May 2019 (kBtu),Jun 2019 (kBtu),Jul 2019 (kBtu),Aug 2019 (kBtu),Sep 2019 (kBtu),Oct 2019 (kBtu),Nov 2019 (kBtu),Dec 2019 (kBtu),Jan 2020 (kBtu),Feb 2020 (kBtu),Mar 2020 (kBtu),Apr 2020 (kBtu),May 2020 (kBtu),Jun 2020 (kBtu),Jul 2020 (kBtu),Aug 2020 (kBtu),Sep 2020 (kBtu),Oct 2020 (kBtu),Nov 2020 (kBtu),Dec 2020 (kBtu),Jan 2021 (kBtu),Feb 2021 (kBtu),Mar 2021 (kBtu),Apr 2021 (kBtu),May 2021 (kBtu),Jun 2021 (kBtu),Jul 2021 (kBtu),Aug 2021 (kBtu),Sep 2021 (kBtu),Oct 2021 (kBtu),Nov 2021 (kBtu),Dec 2021 (kBtu),Jan 2022 (kBtu),Feb 2022 (kBtu),Mar 2022 (kBtu),Apr 2022 (kBtu),May 2022 (kBtu),Jun 2022 (kBtu),Jul 2022 (kBtu),Aug 2022 (kBtu),Sep 2022 (kBtu),Oct 2022 (kBtu),Nov 2022 (kBtu),Dec 2022 (kBtu),Jan 2023 (kBtu),Feb 2023 (kBtu),Mar 2023 (kBtu),Apr 2023 (kBtu),May 2023 (kBtu),Jun 2023 (kBtu),Jul 2023 (kBtu),Aug 2023 (kBtu),Sep 2023 (kBtu),Oct 2023 (kBtu),Nov 2023 (kBtu),Dec 2023 (kBtu),Total
000,Campus Service Entries,Other,"6,879,765","12,112,315","15,780,546","34,207,667","41,923,855","41,786,383","39,556,790","34,557,121","30,024,978","35,272,367","22,985,586","13,852,861","10,571,684","11,653,758","14,814,081","23,326,019","25,434,778","25,115,291","34,010,795","42,829,605","39,636,119","34,194,877","21,273,186","18,297,816","15,717,760","18,787,490","18,819,482","41,363,270","45,604,987","41,278,044","42,294,314","57,179,378","69,405,419","69,752,768","45,051,147","35,308,648","36,641,741","35,693,512","40,820,236","56,364,384","74,201,810","78,759,754","78,509,902","69,078,239","50,670,682","36,570,131","23,156,444","14,898,498","27,738,816","20,287,039","19,107,514","27,710,977","49,601,060","62,270,855","66,622,081","80,459,135","82,548,341","73,395,927","63,864,087","61,526,454","56,091,039","38,966,583","28,379,016","23,726,092","41,204,945","58,902,704","75,395,284","70,775,668","50,720,147","29,395,913","17,085,948","9,179,169","6,271,701","6,188,633","19,051,062","25,280,835","28,227,863","38,985,501","50,944,742","66,245,569","68,293,044","67,313,520","39,196,536","22,563,170","13,300,052","11,496,113","31,921,099","46,159,599","44,451,907","41,781,275","50,908,050","50,630,657","62,229,965","71,554,724","62,019,965","38,028,194","29,325,104","34,083,956","35,677,475","33,696,663","29,118,696","45,904,014","61,198,786","72,522,661","62,894,175","56,299,096","49,062,721","40,782,614","4,374,590,812"
001,Energy Plant,Other,"260,044,817","203,687,982","229,500,023","175,122,616","121,413,824","147,858,731","170,927,616","180,342,119","170,589,789","157,685,614","185,707,977","210,854,545","253,872,794","207,621,736","206,773,344","190,249,294","147,614,332","183,208,823","189,559,476","162,668,662","178,136,971","155,339,503","195,603,000","233,879,812","234,386,503","207,771,968","214,340,910","132,943,368","138,327,133","144,654,214","189,179,471","118,637,351","88,047,215","90,228,907","132,102,228","190,479,007","202,379,155","167,427,363","179,877,145","126,843,000","96,740,067","96,722,809","123,745,738","258,870,947","187,191,540","179,445,876","212,856,302","225,915,521","228,712,843","194,505,941","212,992,771","179,291,514","135,290,197","104,419,576","128,338,002","108,374,955","81,129,157","84,292,092","117,656,016","134,687,568","138,387,581","172,348,965","156,389,357","139,036,451","127,119,225","104,878,194","96,903,355","154,541,822","139,978,243","170,542,134","204,664,769","238,887,581","253,936,151","239,550,361","213,341,811","149,621,248","174,462,341","179,900,484","148,988,075","129,976,289","124,954,053","111,487,497","192,834,829","190,428,418","267,490,937","227,217,449","208,202,472","134,054,246","161,307,325","180,831,347","170,544,332","180,423,899","121,109,501","92,836,508","108,205,026","217,122,531","205,903,776","151,374,047","173,773,679","173,991,644","193,498,145","148,119,137","137,901,825","115,783,652","132,938,120","142,658,926","158,176,916","156,806,783","18,080,499,234"
003,Service Building,Office,"719,472","839,156","686,423","570,502","514,985","585,408","642,098","576,471","566,027","600,728","675,000","903,797","899,843","816,831","695,785","639,491","509,084","566,684","552,454","603,988","451,888","486,429","729,790","721,970","786,720","608,062","745,275","533,401","530,900","452,351","657,721","636,645","462,225","423,995","706,560","767,251","816,591","668,123","722,713","556,675","514,375","414,626","486,820","575,261","466,114","540,278","688,792","789,847","960,269","835,065","474,780","562,582","686,325","712,137","529,278","499,531","419,198","539,742","463,471","560,494","1,088,872","790,691","698,652","358,796","390,466","401,948","490,116","589,088","194,016","891,888","953,032","1,123,978","809,103","849,060","681,834","590,075","428,187","481,722","514,948","540,373","449,971","413,659","625,767","602,144","725,151","558,690","552,343","585,059","395,392","376,586","365,205","373,331","299,344","416,082","528,606","654,670","640,481","567,700","626,588","570,963","586,612","393,272","416,498","395,910","367,229","469,309","614,405","622,315","64,408,619"
004,Ritchie Coliseum,Other,"411,066","433,017","289,900","404,889","549,737","522,620","701,689","506,653","498,133","562,337","471,771","508,530","440,848","437,039","517,184","526,454","539,476","584,504","634,043","658,449","533,015","553,668","405,636","504,421","453,206","505,319","564,359","590,405","566,352","472,278","593,330","542,913","559,292","470,474","489,249","424,985","499,947","388,079","383,961","435,575","745,868","556,604","613,503","628,931","544,382","538,772","317,631","358,918","374,364","288,561","334,463","462,090","570,163","535,425","569,476","516,301","473,216","584,301","279,129","390,832","475,262","389,184","406,822","601,664","292,470","708,711","1,025,328","961,025","862,735","780,131","567,786","384,933","361,795","323,160","425,436","517,874","615,748","917,471","913,092","1,140,152","861,278","720,263","432,973","413,389","353,067","355,988","428,378","443,247","734,238","955,731","1,117,329","1,115,722","1,143,576","720,822","730,227","633,922","509,332","419,194","378,839","641,968","898,856","1,324,192","1,574,154","1,641,031","1,498,565","649,944","467,175","339,076","63,990,989"
006,Building 006,Office,"285,289","485,616","505,782","97,894","113,010","105,435","144,948","71,757","74,009","87,010","75,750","78,002","57,119","59,371","68,789","59,167","51,080","49,237","60,395","56,300","29,686","27,638","33,780","34,804","30,709","23,544","33,780","32,757","28,662","32,347","31,119","30,709","21,496","24,465","29,788","17,607","17,607","18,426","15,969","18,426","12,693","4,095","3,071","9,315","14,536","6,449","59,371","58,348","67,560","48,725","60,804","54,151","2,378","2,740","101,750","126,106","70,154","70,089","65,421","84,553","116,149","107,592","85,665","85,781","77,947","120,657","174,084","182,382","144,201","135,094","103,664","112,809","114,303","111,226","111,946","133,299","139,256","194,451","217,401","213,713","168,481","143,948","106,896","105,278","117,408","101,525","114,006","139,751","136,445","183,747","191,172","213,354","166,785","136,267","111,229","140,440","128,706","111,267","117,183","125,304","138,516","161,323","202,644","186,197","161,834","139,123","118,852","138,393","10,729,281"
007,Pocomoke Building,Office,"363,519","358,770","357,540","292,464","296,163","285,226","288,381","286,703","279,802","296,571","309,267","329,178","364,683","332,044","292,757","259,718","273,518","271,713","293,801","300,554","282,856","293,029","318,046","384,049","380,680","317,276","341,381","299,100","282,759","269,202","279,075","271,144","255,287","280,477","305,102","367,194","384,024","314,268","319,771","264,940","272,940","271,966","285,133","288,499","281,259","285,754","302,286","320,901","342,670","307,425","299,226","266,651","266,937","256,217","272,390","275,756","253,987","264,929","281,054","298,592","307,598","279,371","259,993","233,967","241,861","232,669","251,135","275,915","282,509","301,122","304,322","345,447","351,763","307,640","302,180","268,747","273,482","268,474","277,533","277,386","270,223","288,921","306,360","317,405","337,257","292,305","279,391","252,676","248,340","226,610","250,048","256,556","243,641","261,231","266,634","280,558","280,500","248,151","271,108","232,983","215,572","204,646","218,088","230,213","227,853","253,557","276,846","323,183","31,040,575"
008,Annapolis Hall,Office,"83,280","69,198","80,810","91,752","95,830","101,815","87,890","87,167","95,438","92,507","72,522","72,805","82,359","82,475","77,428","77,200","88,248","76,415","87,989","90,156","90,183","83,812","78,585","86,440","86,883","71,989","80,793","72,378","96,901","113,283","133,964","93,902","90,736","84,512","73,648","49,353","82,239","76,555","80,441","72,798","84,870","90,101","78,957","86,208","81,629","88,163","81,977","78,312","86,948","60,893","82,461","89,616","86,095","79,349","75,036","84,075","79,090","74,180","64,425","64,592","64,585","74,699","71,682","70,314","67,458","54,004","103,016","67,427","75,944","46,736","54,639","65,131","54,113","60,661","58,726","68,560","41,847","66,451","62,128","63,421","71,948","74,859","75,589","61,647","67,943","64,097","60,490","76,783","73,388","65,336","58,638","58,917","63,933","62,022","56,713","56,491","48,333","51,670","53,168","56,300","62,831","66,567","47,903","69,550","55,874","63,828","61,954","53,212","8,021,187"
009,Memorial Chapel,Other,"279,475","262,776","221,372","120,008","70,424","52,265","52,178","41,579","36,676","142,586","160,840","180,023","279,817","269,464","204,442","153,915","107,243","38,770","30,750","24,228","15,113","37,866","16,136","37,890","37,890","62,451","19,635","53,050","17,850","6,164","15,994","9,187","3,784","7,307","3,284","143,209","282,641","281,684","232,006","192,588","148,927","115,998","116,680","105,300","220,319","190,998","156,664","205,315","264,970","192,474","242,745","240,158","250,915","312,936","340,776","293,639","339,264","223,052","154,407","245,137","140,625","112,391","103,836","104,482","126,415","187,477","252,377","242,641","177,443","123,497","125,229","126,790","167,787","149,603","136,340","173,371","194,094","250,306","284,605","269,985","208,010","218,555","97,135","118,140","129,308","111,226","131,745","159,027","167,058","193,711","227,070","204,636","229,136","150,024","105,182","118,167","115,354","110,403","117,615","164,579","204,053","217,443","315,900","269,959","227,918","163,481","94,848","118,469","16,702,678"
010,Patuxent Building,Office,"610,076","536,872","503,309","483,521","534,272","502,329","561,004","588,394","541,879","506,491","656,382","479,086","562,402","563,080","549,321","488,139","505,068","476,514","535,677","537,403","497,516","512,400","495,676","543,892","549,227","470,105","537,965","475,227","519,915","491,253","594,208","639,362","530,846","537,816","576,155","621,025","636,056","473,673","533,791","554,934","483,596","525,191","511,329","503,169","441,805","463,131","458,604","447,416","514,528","411,014","458,527","414,281","426,577","413,584","512,330","528,481","400,799","417,807","434,458","449,407","478,239","432,899","378,846","320,285","329,044","348,803","400,016","663,585","358,556","378,701","379,617","448,022","444,056","411,445","396,271","411,915","332,527","394,791","441,682","456,965","448,116","460,030","438,207","468,588","502,742","454,788","457,494","464,703","366,387","413,534","407,577","471,368","430,629","443,978","453,091","510,882","477,424","426,533","452,371","444,687","407,069","418,123","434,343","436,802","367,776","354,224","385,345","394,224","51,125,593"
011,Building 011,Other,"45,982","288,313","85,537","85,537","12,852","12,852",0,0,0,0,"311,304","399,983","295,596","296,667","296,667","133,804","3,284","1,642","8,282","84,823","64,260","72,876","175,216","292,740","292,740","292,740","491,375","39,841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,084,913"
